date,open,close,volume
2013-06-06,63.1,63.14,8663655
2013-06-07,63.63,64.85,7610904
2013-06-10,64.91,63.83,6729481
2013-06-11,63.32,63.8,6454788
2013-06-12,64.32,62.99,7662841
2013-06-13,62.99,64.3,5584275
2013-06-14,64.01,63.8,5311740
2013-06-17,64.3,64.49,6755060
2013-06-18,64.61,65.29,5234787
2013-06-19,65.19,64.33,6871351
2013-06-20,63.22,61.98,12262997
2013-06-21,62.62,62.73,11892309
2013-06-24,62.25,62.44,6494408
2013-06-25,62.88,62.57,6777687
2013-06-26,62.95,63.21,5721661
2013-06-27,63.65,63.72,4877613
2013-06-28,63.76,63.15,10567010
2013-07-01,63.84,63.93,8221603
2013-07-02,63.83,63.26,7691561
2013-07-03,62.85,63.61,3352066
2013-07-05,63.88,63.82,5647439
2013-07-08,64.28,64.71,6679630
2013-07-09,65.32,64.94,4556432
2013-07-10,64.86,64.91,5761972
2013-07-11,65.65,66.58,8330372
2013-07-12,66.39,66.98,5891977
2013-07-15,67.02,65.93,6457909
2013-07-16,65.95,65.03,7470773
2013-07-17,65.42,65.36,6846861
2013-07-18,65.7,65.82,4962794
2013-07-19,65.89,65.16,7221472
2013-07-22,65.15,64.4,5973470
2013-07-23,64.6,64.45,4534425
2013-07-24,64.59,64.64,5327606
2013-07-25,64.32,64.55,5407853
2013-07-26,64.4699,64.98,4950018
2013-07-29,64.8,64.61,3805781
2013-07-30,64.7001,64.18,6210486
2013-07-31,64.43,64.65,7155261
2013-08-01,65.16,65.36,6338790
2013-08-02,65.56,66.51,6078137
2013-08-05,66.5,66.02,7265776
2013-08-06,66.09,67.05,11531873
2013-08-07,64.93,65.91,16970485
2013-08-08,66.34,65.75,8826419
2013-08-09,65.47,64.73,7945849
2013-08-12,64.26,63.93,8005135
2013-08-13,64.26,63.98,6025118
2013-08-14,63.95,63.96,6413661
2013-08-15,63.28,62.38,9014450
2013-08-16,61.97,62.17,8238836
2013-08-19,62.15,61.83,5659879
2013-08-20,61.79,61.88,5192537
2013-08-21,61.62,61.14,7185414
2013-08-22,61.32,61.64,5302299
2013-08-23,61.96,61.73,5510670
2013-08-26,61.76,61.35,4506432
2013-08-27,60.9,60.69,7733878
2013-08-28,60.44,60.81,7161726
2013-08-29,60.77,61.08,5396200
2013-08-30,61.14,60.83,5404116
2013-09-03,61.42,60.93,7016364
2013-09-04,60.92,61.11,14014636
2013-09-05,61.07,61.3,6356567
2013-09-06,61.47,61.39,7319446
2013-09-09,61.6,61.59,7224547
2013-09-10,62.09,62.83,9919708
2013-09-11,63.12,63.94,9439782
2013-09-12,63.8,65.49,22428102
2013-09-13,65.87,66.69,12703560
2013-09-16,67.32,66.94,9731743
2013-09-17,66.83,66.98,6451520
2013-09-18,66.67,67.11,9865637
2013-09-19,66.39,65.72,11808780
2013-09-20,65.61,65.01,29015758
2013-09-23,65.04,64.75,8286597
2013-09-24,64.94,64.32,8166656
2013-09-25,64.42,64.45,7281578
2013-09-26,64.36,65.24,6971153
2013-09-27,64.97,65.19,5586022
2013-09-30,64.73,64.49,7463188
2013-10-01,64.37,64.83,4881181
2013-10-02,64.45,64.88,7218755
2013-10-03,64.72,64.02,7264104
2013-10-04,64.02,65.3,6546049
2013-10-07,64.81,64.59,5840877
2013-10-08,64.52,64.0,8662499
